Store,Category,Item,Sale Price,Original or Current Price,URL
aafes,Apparel >> Jewelry,Sterling Silver Genuine Black Sapphire Round w/ Created White Sapphire Halo Ring,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Genuine-Black-Sapphire-Round-w-Created-White-Sapphire-Halo-Ring/540920
aafes,Apparel >> Jewelry,Sterling Silver Glitter Goop Earrings & Bangle Set,$39.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Glitter-Goop-Earrings-Bangle-Set/540463
aafes,Apparel >> Jewelry,Sterling Silver Hoop Earring Set,$14.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Hoop-Earring-Set/540838
aafes,Apparel >> Jewelry,Sterling Silver Ruby & White Topaz 16-in. Necklace,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Ruby-White-Topaz-16in-Necklace/540894
aafes,Apparel >> Jewelry,Sterling Silver Ruby w/ White Topaz Earrings,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Ruby-w-White-Topaz-Earrings/540907
aafes,Apparel >> Jewelry,Sterling Silver w/ 14K Gold Plated 1/4-cttw. Diamond Bracelet,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-w-14K-Gold-Plated-14cttw-Diamond-Bracelet/540433
aafes,Apparel >> Jewelry,Swarovski Crystal Fireball Stud & Hoop Earring Set,$14.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Swarovski-Crystal-Fireball-Stud-Hoop-Earring-Set/540471
aafes,Apparel >> Jewelry,Swarovski Jewelry (Select),25% OFF,,https://www.bfads.net/Item/AAFES-Black-Friday-Swarovski-Jewelry-Select/540917
aafes,Apparel >> Jewelry,White Gold 1/4-cttw. Black Diamond Stud Earrings,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-White-Gold-14cttw-Black-Diamond-Stud-Earrings/540973
aafes,Apparel >> Kids',Carters Boys & Girls Apparel/Sleepwear (Assorted),Save 20%,,https://www.bfads.net/Item/AAFES-Black-Friday-Carters-Boys-Girls-ApparelSleepwear-Assorted/540250
aafes,Apparel >> Men's,"Mens Belts, Wallets, & Travel Kits (Select)",30% OFF,,https://www.bfads.net/Item/AAFES-Black-Friday-Mens-Belts-Wallets-Travel-Kits-Select/540539
aafes,Apparel >> Men's,Calvin Klein Mens Apparel (Assorted),save 35%,,https://www.bfads.net/Item/AAFES-Black-Friday-Calvin-Klein-Mens-Apparel-Assorted/540236
aafes,Apparel >> Men's,Carhartt Mens Gilliam Jacket (Assorted),$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Carhartt-Mens-Gilliam-Jacket-Assorted/540443
aafes,Apparel >> Men's,Casio Mens G-Shock Tough Sport Watch,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Casio-Mens-GShock-Tough-Sport-Watch/540456
aafes,Apparel >> Men's,Chaps Mens Apparel,save 40%,,https://www.bfads.net/Item/AAFES-Black-Friday-Chaps-Mens-Apparel/540725
aafes,Apparel >> Men's,Columbia Basin Trail Fleece Full Zip (Assorted),$29.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Columbia-Basin-Trail-Fleece-Full-Zip-Assorted/540400
aafes,Apparel >> Men's,Geoffrey Beene Mens Lounge Pants,$8.50 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Geoffrey-Beene-Mens-Lounge-Pants/540509
aafes,Apparel >> Men's,Haggar Mens Apparel,save 40%,,https://www.bfads.net/Item/AAFES-Black-Friday-Haggar-Mens-Apparel/540722
aafes,Apparel >> Men's,Hanes Mens Bonus Pack Boxer Briefs,$12.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Hanes-Mens-Bonus-Pack-Boxer-Briefs/540758
